doi,title,pdf_local
10.1080/15548627.2021.1901204,Long noncoding RNA (lncRNA) EIF3J-DT induces chemoresistance of gastric cancer via autophagy activation,sí
10.3390/cancers14205105,The Role of ctDNA in Gastric Cancer,sí
10.62347/BVFO4627,Bioinformatics- and quantitative proteomics-based identification of gastric adenocarcinoma-related proteins and analysis.,sí
10.1016/j.clinbiochem.2024.110767,Circulating miRNA and circulating tumor DNA application as liquid biopsy markers in gastric cancer.,sí
10.1016/j.cca.2024.117773,Exosomal miRNAs from neutrophils act as accurate biomarkers for gastric cancer diagnosis.,sí
10.1200/PO.22.00420,Analysis of Circulating Tumor DNA to Predict Risk of Recurrence in Patients With Esophageal and Gastric Cancers,sí
10.1007/s10120-022-01313-w,Circulating tumor DNA predicts outcome in metastatic gastroesophageal cancer,sí
10.3389/fonc.2024.1341056,Identification of lncRNA dual targeting PD-L1 and PD-L2 as a novel prognostic predictor for gastric cancer,sí
10.1007/s10120-024-01556-9,Circulating tumor DNA predicts recurrence and survival in patients with resectable gastric and gastroesophageal junction cancer,sí
10.3389/fgene.2024.1425591,Identification of plasma exosomal lncRNA as a biomarker for early diagnosis of gastric cancer,sí
10.2174/1386207325666220616125608,miRNA-633 and KAI1 as potential biomarkers of malignant melanoma with gastric cancer.,no
10.1159/000524283,Reference Genes for qPCR-Based miRNA Expression Profiling in 14 Human Tissues,sí
10.1016/j.phymed.2024.156137,EGCG targeting STAT3 transcriptionally represses PLXNC1 to inhibit M2 polarization mediated by gastric cancer cell-derived exosomal miR-92b-5p.,sí
10.1159/000514457,Cell-Free DNA and Clinical Characteristics in Patients with Small Intestinal or Pancreatic Neuroendocrine Tumors,sí
10.1186/s13046-024-03043-6,Exploring new frontiers: cell surface vimentin as an emerging marker for circulating tumor cells and a promising therapeutic target in advanced gastric Cancer,sí
10.23736/S0026-4806.20.06628-8,microRNA-216a-5p inhibits the development of gastric cancer through target combination with TCTN1.,no
10.1007/s13258-023-01412-7,Postoperative circulating tumor DNA detection and CBLB mutations are prognostic biomarkers for gastric cancer,sí
10.2174/2211536611666220322160242,Novel biomarkers of microRNAs in gastric cancer; an overview from diagnosis to treatment.,no
10.3390/cancers16233960,Circulating Tumor DNA (ctDNA) Dynamics Predict Early Response to Treatment in Metastasized Gastroesophageal Cancer (mGEC) After 2 Weeks of Systemic Treatment,sí
10.4103/IJPM.IJPM_777_19,MiR-216b inhibits gastric cancer proliferation and migration by targeting PARK7,sí
10.1080/21655979.2022.2062529,MicroRNA-18 facilitates the stemness of gastric cancer by downregulating HMGB3 though targeting Meis2,sí
10.1038/s41388-024-03034-z,Improving diagnostic accuracy of identifying gastric cancer patients with peritoneal metastases: tumor-guided cell-free DNA analysis of peritoneal fluid,no
10.1111/jcmm.16077,Circulating exosomal small RNAs are promising non‐invasive diagnostic biomarkers for gastric cancer,sí
10.1007/s13258-021-01086-z,Bioinformatic and integrated analysis identifies an lncRNA–miRNA–mRNA interaction mechanism in gastric adenocarcinoma,sí
10.1186/s12967-023-04077-8,Genomic alterations of cerebrospinal fluid cell-free DNA in leptomeningeal metastases of gastric cancer,sí
